"listener"	"artist_name"	"album_name"	"song_name"	"artist_popularity"	"album_popularity"	"song_popularity"	"acousticness"	"danceability"	"energy"	"instrumentalness"	"liveness"	"loudness"	"speechiness"	"tempo"	"valence"
"149"	27	"James Bay"	"Oh My Messy Mind"	"Peer Pressure"	81	72	75	0.0299	0.631	0.715	0	0.122	-6.083	0.0277	135.826	0.42
"150"	27	"James Blunt"	"Back To Bedlam"	"Goodbye My Lover"	77	71	68	0.953	0.432	0.261	0.00342	0.0903	-12.591	0.0512	89.567	0.273
"151"	24	"James"	"Pleased To Meet You"	"Getting Away With It (All Messed Up)"	64	49	57	0.000968	0.517	0.67	0.025	0.344	-6.442	0.0262	135.372	0.172
"152"	24	"Aerosmith"	"Just Push Play"	"Jaded"	80	56	60	0.005	0.517	0.89	1.47e-05	0.0824	-4.033	0.0539	118.009	0.632
"153"	24	"Rainbow"	"Long Live Rock N Roll (Deluxe Edition)"	"Rainbow Eyes"	63	49	38	0.833	0.262	0.14	0.00169	0.309	-20.232	0.0339	67.058	0.149
"154"	23	"Lily Allen"	"Sheezus"	"Somewhere Only We Know"	73	55	61	0.934	0.313	0.286	0.0451	0.0974	-10.593	0.0324	80.925	0.287
"155"	23	"LP"	"Heart to Mouth"	"Recovery"	74	46	43	0.28	0.508	0.536	2.69e-05	0.173	-7.939	0.04	74.971	0.184
"156"	23	"Kingdom Come"	"Get It On: 1988-1991 - Classic Album Collection"	"What Love Can Be"	45	36	29	0.318	0.297	0.641	1.61e-06	0.1	-7.946	0.0385	126.228	0.283
"157"	23	"Christina Aguilera"	"Back To Basics"	"Hurt"	81	63	64	0.775	0.327	0.295	0	0.107	-6.907	0.0313	148.574	0.143
"158"	22	"Kenny Rogers"	"Very Best Of Kenny Rogers"	"Lady"	70	49	48	0.755	0.357	0.263	0.000171	0.138	-13.657	0.0307	135.361	0.26
"159"	21	"Sub Woofers"	"FourFiveSeconds (Originally Performed by Rihanna feat. Kanye West & Paul McCartney)"	"FourFiveSeconds - Originally Performed by Rihanna feat. Kanye West & Paul McCartney"	13	2	5	0.727	0.511	0.254	0	0.172	-10.528	0.0382	205.933	0.454
"160"	21	"Bruce Springsteen"	"Hello Sunshine"	"Hello Sunshine"	79	56	65	0.438	0.546	0.438	0.0443	0.192	-10.29	0.032	120.022	0.274
"161"	20	"Supertramp"	"Breakfast In America (Remastered)"	"Goodbye Stranger - 2010 Remastered"	72	50	43	0.598	0.42	0.663	0.0196	0.0612	-7.246	0.061	125.332	0.326
"162"	21	"Mr. Big"	"Bump Ahead [Expanded]"	"Wild World - 2009 Remastered Version"	62	52	59	0.182	0.573	0.722	0	0.29	-6.518	0.0295	144.209	0.59
"163"	19	"Placebo"	"Twenty Years"	"Twenty Years"	69	40	48	0.212	0.51	0.741	0.000899	0.177	-6.521	0.0281	135.309	0.287
"164"	19	"Seal"	"Seal IV"	"Love's Divine"	67	40	47	0.563	0.577	0.527	0.000191	0.114	-9.21	0.0374	96.101	0.228
"165"	18	"Lauren Jauregui"	"Expectations"	"Expectations"	65	57	66	0.00923	0.576	0.443	1.88e-06	0.124	-7.477	0.0754	180.08	0.452
"166"	18	"Hootie & The Blowfish"	"Cracked Rear View"	"Let Her Cry"	65	65	62	0.0353	0.352	0.698	0	0.113	-6.278	0.0303	142.57	0.256
